region_name,district_name,municipality_name,id,mp_id,p1_1_7_name,p1_1_7_type,p1_1_7_month,p1_1_7_no,p1_1_7_avg_popul,created_at,updated_at
Chengalpattu,Chengalpattu,Chengalpattu,1994,1,Dhasara,notified,Oct,10,3500,48:49.7,
Chengalpattu,Chengalpattu,Madhuranthagam,1919,3,MOSURAMMAN THER,notified,Jun,7,0,40:03.3,
Chengalpattu,Chengalpattu,Madhuranthagam,1916,3,RAMAR KOIL THER,notified,Jun,10,5,40:03.3,
Chengalpattu,Chengalpattu,Madhuranthagam,1917,3,CHELLIYAMMAN THER,notified,Aug,5,0,40:03.3,
Vellore,Kallakurichi,Ulundurpettai,1695,141,Mayanakollai Festival,notified,Feb,10,10000,30:17.1,
Vellore,Ranipet,Arakkonam,1715,129,MAYANAKOLLAI,un-notified,Feb,1,50000,08:39.8,
Vellore,Ranipet,Ranipet,1867,128,Maha sivarathiri,un-notified,Mar,2,80000,50:01.9,
Vellore,Ranipet,Sholinghur,1809,133,kolathamman kovil  festival,notified,Aug,2,10886,37:11.2,
Vellore,Ranipet,Sholinghur,1810,133,lakshmi narasimma swamy kovil  utsavam festival,notified,Apr,7,25489,37:11.2,
Vellore,Ranipet,Sholinghur,1811,133,ther thiruvizha festival,notified,May,1,8064,37:11.2,
Vellore,Thirupathur,Thirupathur,1861,124,Pongal Festival,notified,Jan,30,45000,44:28.7,
Vellore,Thirupathur,Vaniyambadi,1699,127,PONNIYAMMAN KOIL THIRUVIZHA,un-notified,Aug,2,5000,37:53.0,
Vellore,Thiruvannamalai,Senkam,1964,143,Garudasevi,un-notified,Jun,10,75000,40:42.0,
Vellore,Thiruvannamalai,Thirvathipuram,1854,135,Vedpuriswarar Temple urchavam,notified,Jan,10,100000,22:25.8,
Vellore,Vellore,Gudiyatham,1431,122,Gangai amman Sirasu,notified,May,1,500000,13:56.7,
Vellore,Villupuram,Kottakuppam,1855,139,Ramjan,notified,Mar,1,6000,24:53.8,
Vellore,Villupuram,Villupuram,1662,137," Laksha Deepam Festival		",un-notified,Apr,10,50000,46:43.0,
