region_name,district_name,municipality_name,id,mp_id,p1_1_8_place,p1_1_8_name,p1_1_8_details,p1_1_8_avg_day,p1_1_8_avg_annual,created_at,updated_at
Chengalpattu,Chengalpattu,Madhuranthagam,1602,3,others,ஏரி காத்த இராமர்கோயில்,மதுராந்தகம்,1000,12000,40:03.3,
Chengalpattu,Chengalpattu,Mamallapuram,1537,20,Tourism,Beach and Resort,Mamallapuram Sea Shore Temple,100,40000,10:33.1,
Chengalpattu,Chengalpattu,Mamallapuram,1531,20,Monuments or Memorials,"Rathas, Chariots, Rock cut ",Fantastic art design of monolithic famous Shore Temple,100,40000,10:33.1,
Chengalpattu,Chengalpattu,Mamallapuram,1532,20,Coastal area / Beach,Beach area covered,Beach,100,40000,10:33.1,
Chengalpattu,Chengalpattu,Mamallapuram,1534,20,others,Sthalasayana Perumal Temple,Near Bus Stand,50,20000,10:33.1,
Chengalpattu,Chengalpattu,Mamallapuram,1535,20,Historical importance,Pallavas Kingdoms 580-715 AD,Five Rathas,50,20000,10:33.1,
Chengalpattu,Chengalpattu,Mamallapuram,1536,20,Archaeological importance,One of the World Heritage Site of sculpture,"Arjunan Thabasu, Butter ball, Five Rathas",100,40000,10:33.1,
Chengalpattu,Chengalpattu,Mamallapuram,1533,20,Hill Area (Elevation level),0,0,0,0,10:33.1,
Chengalpattu,Cuddalore,Chidambaram,1498,13,Tourism,Lord Nataraja,Temple in chidambaram,5000,60000,39:57.5,
Chengalpattu,Cuddalore,Panruti,1701,15,Historical importance,Temple,Veerataneswarar Temple Thiruvathigi ,150,54000,34:26.8,
Chengalpattu,Cuddalore,Panruti,1702,15,others,Park ,Ganthi Park Bustand Near,200,72000,34:26.8,
Vellore,Kallakurichi,Tirukkoyilur,1474,142,Tourism,Sri Thiruvikrama Swamy Temple,Market Street,750,15000,59:14.0,
Vellore,Kallakurichi,Tirukkoyilur,1473,142,Archaeological importance,Kabilar kundru,Thenpennai River,250,5000,59:14.0,
Vellore,Kallakurichi,Tirukkoyilur,1472,142,Historical importance,Arulmigu Veerateswarar Temple,Keelaiyur,500,10000,59:14.0,
Vellore,Ranipet,Arcot,1526,130,Monuments or Memorials,PACHAIKAL MASUTHI,KALVAI ROAD,300,109500,55:11.5,
Vellore,Ranipet,Arcot,1525,130,Archaeological importance,RAJA RANI FORT,KALAVAI ROAD,20,7300,55:11.5,
Vellore,Ranipet,Arcot,1524,130,Historical importance,DELHI GATE,CHEYYAR BYEPASS,50,18250,55:11.5,
Vellore,Ranipet,Ranipet,1553,128,Historical importance,Rajarani kottai,Rajarani kottai near palar river,200,73000,50:01.9,
Vellore,Ranipet,Sholinghur,1489,133,Pilgrim Centres,SRI YOGA NARASIMMA SWAMY THIRUKOVIL,"LOCATED AT KONDAPALAYAM , SHOLINGHUR",5000,1825000,37:11.2,
Vellore,Thiruvannamalai,Thirvathipuram,1541,135,Pilgrim Centres,Vedapuriswarar Temple,Thiruvathur,1050,300000,22:25.8,
Vellore,Villupuram,Kottakuppam,1542,139,Coastal area / Beach,Thandirayankuppam,Thandirayankuppam,100,36500,24:53.8,
Vellore,Villupuram,Villupuram,1345,137,Historical importance,0,0,0,0,46:43.0,
Vellore,Villupuram,Villupuram,1348,137,Monuments or Memorials,0,0,0,0,46:43.0,
Vellore,Villupuram,Villupuram,1351,137,Pilgrim Centres,0,0,0,0,46:43.0,
Vellore,Villupuram,Villupuram,1350,137,Hill Area (Elevation level),0,0,0,0,46:43.0,
Vellore,Villupuram,Villupuram,1349,137,Coastal area / Beach,0,0,0,0,46:43.0,
Vellore,Villupuram,Villupuram,1352,137,others,0,0,0,0,46:43.0,
Vellore,Villupuram,Villupuram,1347,137,Tourism,0,0,0,0,46:43.0,
Vellore,Villupuram,Villupuram,1346,137,Archaeological importance,0,0,0,0,46:43.0,
