region_name,district_name,municipality_name,id,mp_id,p4_4_2_15_other_specify,p4_4_2_15_last_revision,p4_4_2_15_asst_21,p4_4_2_15_asst_22,p4_4_2_15_asst_23,p4_4_2_15_asst_24,p4_4_2_15_asst_25,p4_4_2_15_cl_cu_21,p4_4_2_15_cl_cu_22,p4_4_2_15_cl_cu_23,p4_4_2_15_cl_cu_24,p4_4_2_15_cl_cu_25,p4_4_2_15_cl_ar_21,p4_4_2_15_cl_ar_22,p4_4_2_15_cl_ar_23,p4_4_2_15_cl_ar_24,p4_4_2_15_cl_ar_25,p4_4_2_15_bl_ucl_21,p4_4_2_15_bl_ucl_22,p4_4_2_15_bl_ucl_23,p4_4_2_15_bl_ucl_24,p4_4_2_15_bl_ucl_25,p4_4_2_15_cl_tot_21,p4_4_2_15_cl_tot_22,p4_4_2_15_cl_tot_23,p4_4_2_15_cl_tot_24,p4_4_2_15_cl_tot_25,created_at,updated_at
Thanjavur,Thanjavur,Adirampattinam,4967,57,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,02:59.5,
Thirunelveli,Tirunelveli,Ambasamudram,5648,106,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43:52.7,
Vellore,Thirupathur,Ambur,3646,125,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,47:22.1,
Vellore,Ranipet,Arakkonam,4566,129,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,56:37.6,
Vellore,Thiruvannamalai,Arani,4691,134,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43:07.1,
Thanjavur,Pudukkottai,Aranthangi,4360,67,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54:27.4,
Vellore,Ranipet,Arcot,4458,130,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,08:54.9,
Thanjavur,Ariyalur,Ariyalur,5325,74,Nil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58:57.1,
Thirunelveli,Virudhunagar,Aruppukottai,4929,117,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55:16.4,
Salem,Salem,Attur,5841,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44:28.3,
Thiruppur,Tiruppur,Avinasi,5177,98,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51:14.2,
Thiruppur,ERODE,Bhavani,5573,91,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,08:00.3,
Madurai,Theni,Bodinayakanur,3976,25,,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,03:12.7,
Thirunelveli,Virudhunagar,virudhunagar,4505,103,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47:02.8,
Vellore,Ranipet,Walajapet,5828,132,NILL,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47:11.2,
