region_name,district_name,municipality_name,id,mp_id,p6_6_1_sector_key,p6_6_1_subsector_key,p6_6_1_subsector_other_txt,p6_6_1_units,p6_6_1_23_det,p6_6_1_23_g_st,p6_6_1_23_g_ct,p6_6_1_23_g_fd,p6_6_1_23_oth,p6_6_1_23_tot,p6_6_1_23_sow,p6_6_1_24_det,p6_6_1_24_g_st,p6_6_1_24_g_ct,p6_6_1_24_g_fd,p6_6_1_24_oth,p6_6_1_24_tot,p6_6_1_24_sow,p6_6_1_25_det,p6_6_1_25_g_st,p6_6_1_25_g_ct,p6_6_1_25_g_fd,p6_6_1_25_oth,p6_6_1_25_tot,p6_6_1_25_sow,created_at,updated_at
Chengalpattu,Chengalpattu,Chengalpattu,126678,1,6_1,6_1_5,,km,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,15:35.0,15:35.0
Chengalpattu,Chengalpattu,Chengalpattu,126679,1,6_1,6_1_6,,km,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,15:35.0,15:35.0
Vellore,Villupuram,Villupuram,138476,137,6_1,6_1_3,,km,0,0,0,0,0,0,NIL,0,0,0,0,0,0,NIL,0,0,0,0,0,0,nil,48:34.0,48:34.0
Vellore,Villupuram,Villupuram,138475,137,6_1,6_1_2,,km,,0,0,0,0,0,NIL,0,0,0,0,0,0,nil,0,0,0,0,0,0,NIL,48:34.0,48:34.0
Vellore,Villupuram,Villupuram,138474,137,6_1,6_1_1,,km,0,0,0,0,0,0,NIL,0,0,0,0,0,0,nil,0,0,0,0,0,0,nil,48:34.0,48:34.0
Vellore,Villupuram,Villupuram,138518,137,6_8,6_8_3,,Nos,2,35274447,0,0,0,35274447,0,2,38921825,0,0,0,38921825,0,24,13600000,0,0,0,13600000,,48:34.0,48:34.0
Vellore,Villupuram,Villupuram,138519,137,6_8,6_8_4,,Nos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,48:34.0,48:34.0
Vellore,Villupuram,Villupuram,138520,137,6_8,6_8_5,,,,,,,,0,,,,,,,0,,,,,,,0,,48:34.0,48:34.0
Vellore,Villupuram,Villupuram,138521,137,6_8,6_8_6,,,,,,,,0,,,,,,,0,,,,,,,0,,48:34.0,48:34.0
Vellore,Villupuram,Villupuram,138522,137,6_8,6_8_7,,,,,,,,0,,,,,,,0,,,,,,,0,,48:34.0,48:34.0
Vellore,Villupuram,Villupuram,138483,137,6_2,6_2_1,,Nos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48:34.0,48:34.0
Vellore,Villupuram,Villupuram,138490,137,6_4,6_4_2,,MLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48:34.0,48:34.0
Vellore,Villupuram,Villupuram,138491,137,6_4,6_4_3,,Kms,1.14,0,0,400000,0,400000,,4.97,0,0,3800000,0,3800000,,1.12,0,0,1000000,0,1000000,,48:34.0,48:34.0
Vellore,Villupuram,Villupuram,138492,137,6_4,6_4_4,,Nos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48:34.0,48:34.0
Vellore,Villupuram,Villupuram,138493,137,6_4,6_4_5,,Nos,5,0,0,1000000,0,1000000,,4,0,0,1400000,0,1400000,,5,0,0,1000000,0,1000000,,48:34.0,48:34.0
Vellore,Villupuram,Villupuram,138494,137,6_4,6_4_6,,Nos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48:34.0,48:34.0
Vellore,Villupuram,Villupuram,138495,137,6_4,6_4_7,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48:34.0,48:34.0
Vellore,Villupuram,Villupuram,138496,137,6_4,6_4_8,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48:34.0,48:34.0
Vellore,Villupuram,Villupuram,138497,137,6_4,6_4_9,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48:34.0,48:34.0
Vellore,Villupuram,Villupuram,138498,137,6_5,6_5_1,,Nos,44,0,15700000,0,0,15700000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48:34.0,48:34.0
Vellore,Villupuram,Villupuram,138499,137,6_5,6_5_2,,Nos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48:34.0,48:34.0
Vellore,Villupuram,Villupuram,138501,137,6_5,6_5_4,,acre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48:34.0,48:34.0
