district_name,municipality_name,id,mp_id,p9_9_14_2_b_no_pend_case,p9_9_14_2_b_typ_case,p9_9_14_2_b_est_case,created_at
Chengalpattu,Maraimalainagar,439,2,1,Contractual Dispute,0,25:57.8
Cuddalore,Panruti,749,15,1,Employee/Labour Dispute,36,37:15.1
Tiruppur,Kangeyam,512,85,1,Land Acquisition,0,25:22.5
Tiruppur,Kangeyam,511,85,1,Employee/Labour Dispute,0,25:22.5
Tiruppur,Kangeyam,510,85,1,Service Deficiency,244812,25:22.5
Tiruppur,Kangeyam,509,85,1,Encroachment,0,25:22.5
Ranipet,Arcot,433,130,1,Encroachment,5,42:22.1
Thiruvannamalai,Arani,449,134,1,Encroachment,9.2,00:33.3
Thiruvannamalai,Thirvathipuram,389,135,2,Land Acquisition,500,30:51.2
Villupuram,Villupuram,457,137,5,Employee/Labour Dispute,0,31:20.8
Villupuram,Villupuram,458,137,4,Encroachment,0,31:20.8
